param	Comm H_mean	Comm H_sigma	dummy Comm H_mean	dummy Comm H_sigma	dummy logComm H_mean	dummy logComm H_sigma	logComm H_mean	logComm H_sigma	
0.0	0.20516129032258063	0.0	0.20516129032258063	0.0	null	null	null	null	
0.004	0.48387096774193544	0.0	0.5664516129032258	0.0	null	null	0.5035483870967741	0.0	
0.02	0.48387096774193544	0.0	0.6116129032258064	0.0	null	null	0.5238709677419354	0.0	
0.04	0.48387096774193544	0.0	0.48387096774193544	0.0	0.5238709677419354	0.0	0.48387096774193544	0.0	
0.08	0.7096774193548387	0.0	0.7096774193548387	0.0	0.6841935483870967	0.0	0.6841935483870967	0.0	
0.12	0.6841935483870967	0.0	0.6841935483870967	0.0	0.7096774193548387	0.0	0.7096774193548387	0.0	
0.16	0.6841935483870967	0.0	0.6841935483870967	0.0	0.7625806451612903	0.0	0.7625806451612903	0.0	
0.2	0.6351612903225805	0.0	0.6351612903225805	0.0	0.7358064516129033	0.0	0.7358064516129033	0.0	
0.24000000000000002	0.7358064516129033	0.0	0.7358064516129033	0.0	0.79	0.0	0.79	0.0	
0.28	0.24000000000000002	0.0	0.24000000000000002	0.0	0.6841935483870967	0.0	0.6841935483870967	0.0	
0.32	0.19483870967741926	0.0	0.19483870967741926	0.0	0.6841935483870967	0.0	0.6841935483870967	0.0	
0.36	0.2016129032258064	0.0	0.2016129032258064	0.0	0.8180645161290322	0.0	0.8180645161290322	0.0	
0.39999999999999997	0.19483870967741926	0.0	0.19483870967741926	0.0	0.8761290322580645	0.0	0.8761290322580645	0.0	
0.43999999999999995	0.20516129032258063	0.0	0.20516129032258063	0.0	0.8761290322580645	0.0	0.8761290322580645	0.0	
0.4799999999999999	0.2141935483870968	0.0	0.2141935483870968	0.0	0.9061290322580644	0.0	0.9061290322580644	0.0	
0.5199999999999999	0.2141935483870968	0.0	0.2141935483870968	0.0	0.9367741935483871	0.0	0.9367741935483871	0.0	
0.5599999999999999	0.2141935483870968	0.0	0.2141935483870968	0.0	0.9367741935483871	0.0	0.9367741935483871	0.0	
0.6	0.2141935483870968	0.0	0.2141935483870968	0.0	0.9367741935483871	0.0	0.9367741935483871	0.0	
0.64	0.2141935483870968	0.0	0.2141935483870968	0.0	0.9367741935483871	0.0	0.9367741935483871	0.0	
0.68	0.2141935483870968	0.0	0.2141935483870968	0.0	0.9367741935483871	0.0	0.9367741935483871	0.0	
0.7200000000000001	0.2141935483870968	0.0	0.2141935483870968	0.0	0.9367741935483871	0.0	0.9367741935483871	0.0	
0.7600000000000001	0.2141935483870968	0.0	0.2141935483870968	0.0	0.9061290322580644	0.0	0.9061290322580644	0.0	
0.8000000000000002	0.2141935483870968	0.0	0.2141935483870968	0.0	0.9061290322580644	0.0	0.19645161290322574	0.0	
0.8400000000000002	0.2141935483870968	0.0	0.2141935483870968	0.0	0.1935483870967742	0.0	0.1935483870967742	0.0	
0.8800000000000002	0.2141935483870968	0.0	0.2141935483870968	0.0	0.1935483870967742	0.0	0.19645161290322574	0.0	
0.9200000000000003	0.2141935483870968	0.0	0.2141935483870968	0.0	0.1935483870967742	0.0	0.19483870967741926	0.0	
0.9600000000000003	0.2141935483870968	0.0	0.2141935483870968	0.0	0.1935483870967742	0.0	0.1938709677419355	0.0	
0.98	null	null	0.2141935483870968	0.0	0.1935483870967742	0.0	null	null	
0.996	null	null	0.2141935483870968	0.0	0.1935483870967742	0.0	null	null	
1.0000000000000002	null	null	0.20516129032258063	0.0	null	null	null	null	

