param	Comm H_mean	Comm H_sigma	logComm H_mean	logComm H_sigma	
0.0	0.20516129032258063	0.0	null	null	
0.002173913043478261	0.48387096774193544	0.0	0.6593548387096773	0.0	
0.010869565217391304	0.48387096774193544	0.0	0.6593548387096773	0.0	
0.021739130434782608	0.4648387096774192	0.0	0.6593548387096773	0.0	
0.043478260869565216	0.4648387096774192	0.0	0.6351612903225805	0.0	
0.06521739130434782	0.5238709677419354	0.0	0.5448387096774194	0.0	
0.08695652173913043	0.5238709677419354	0.0	0.4648387096774192	0.0	
0.10869565217391304	0.5238709677419354	0.0	0.5448387096774194	0.0	
0.13043478260869565	0.5887096774193548	0.0	0.6351612903225805	0.0	
0.15217391304347827	0.6593548387096773	0.0	0.6841935483870967	0.0	
0.17391304347826086	0.5887096774193548	0.0	0.6593548387096773	0.0	
0.19565217391304346	0.5238709677419354	0.0	0.6841935483870967	0.0	
0.21739130434782605	0.6593548387096773	0.0	0.7358064516129033	0.0	
0.23913043478260865	0.6116129032258064	0.0	0.7625806451612903	0.0	
0.26086956521739124	0.5448387096774194	0.0	0.7625806451612903	0.0	
0.28260869565217384	0.20516129032258063	0.0	0.7358064516129033	0.0	
0.30434782608695643	0.19645161290322574	0.0	0.6841935483870967	0.0	
0.326086956521739	0.19870967741935477	0.0	0.7096774193548387	0.0	
0.3478260869565216	0.1935483870967742	0.0	0.6841935483870967	0.0	
0.3695652173913042	0.19483870967741926	0.0	0.5448387096774194	0.0	
0.3913043478260868	0.1938709677419355	0.0	0.5664516129032258	0.0	
0.4130434782608694	0.1938709677419355	0.0	0.7625806451612903	0.0	
0.434782608695652	0.1938709677419355	0.0	0.79	0.0	
0.4565217391304346	0.19483870967741926	0.0	0.846774193548387	0.0	
0.4782608695652172	0.19483870967741926	0.0	0.8761290322580645	0.0	
0.4999999999999998	0.19483870967741926	0.0	0.846774193548387	0.0	
0.5217391304347824	0.19483870967741926	0.0	0.79	0.0	
0.543478260869565	0.19483870967741926	0.0	0.79	0.0	
0.5652173913043476	0.19483870967741926	0.0	0.79	0.0	
0.5869565217391302	0.19483870967741926	0.0	0.79	0.0	
0.6086956521739127	0.19483870967741926	0.0	0.79	0.0	
0.6304347826086953	0.19483870967741926	0.0	0.79	0.0	
0.6521739130434779	0.19483870967741926	0.0	0.79	0.0	
0.6739130434782605	0.19483870967741926	0.0	0.79	0.0	
0.6956521739130431	0.19483870967741926	0.0	0.79	0.0	
0.7173913043478257	0.19483870967741926	0.0	0.79	0.0	
0.7391304347826083	0.19483870967741926	0.0	0.79	0.0	
0.7608695652173909	0.19483870967741926	0.0	0.79	0.0	
0.7826086956521735	0.19483870967741926	0.0	0.8180645161290322	0.0	
0.8043478260869561	0.19483870967741926	0.0	0.2980645161290321	0.0	
0.8260869565217387	0.19483870967741926	0.0	0.19483870967741926	0.0	
0.8478260869565213	0.19483870967741926	0.0	0.19483870967741926	0.0	
0.8695652173913039	0.19483870967741926	0.0	0.1938709677419355	0.0	
0.8913043478260865	0.19483870967741926	0.0	0.1935483870967742	0.0	
0.9130434782608691	0.19483870967741926	0.0	0.1938709677419355	0.0	
0.9347826086956517	0.19483870967741926	0.0	0.1938709677419355	0.0	
0.9565217391304343	0.19483870967741926	0.0	0.1935483870967742	0.0	
0.9782608695652169	0.19483870967741926	0.0	0.8180645161290322	0.0	
0.9891304347826086	0.19483870967741926	0.0	0.846774193548387	0.0	
0.9978260869565218	0.19483870967741926	0.0	0.8180645161290322	0.0	
0.9999999999999994	null	null	null	null	

