param	Comm H_mean	Comm H_sigma	dummy Comm H_mean	dummy Comm H_sigma	dummy logComm H_mean	dummy logComm H_sigma	logComm H_mean	logComm H_sigma	
0.0	0.1935483870967742	0.0	0.1935483870967742	0.0	null	null	null	null	
0.002173913043478261	0.6351612903225805	0.0	0.6351612903225805	0.0	0.37935483870967746	0.0	0.37935483870967746	0.0	
0.010869565217391304	0.6351612903225805	0.0	0.6351612903225805	0.0	0.39516129032258057	0.0	0.39516129032258057	0.0	
0.021739130434782608	0.7096774193548387	0.0	0.7096774193548387	0.0	0.39516129032258057	0.0	0.39516129032258057	0.0	
0.043478260869565216	0.6841935483870967	0.0	0.6841935483870967	0.0	0.4464516129032257	0.0	0.4464516129032257	0.0	
0.06521739130434782	0.6841935483870967	0.0	0.6841935483870967	0.0	0.48387096774193544	0.0	0.48387096774193544	0.0	
0.08695652173913043	0.6841935483870967	0.0	0.6841935483870967	0.0	0.5887096774193548	0.0	0.5887096774193548	0.0	
0.10869565217391304	0.5664516129032258	0.0	0.5664516129032258	0.0	0.5887096774193548	0.0	0.5887096774193548	0.0	
0.13043478260869565	0.6351612903225805	0.0	0.6351612903225805	0.0	0.6116129032258064	0.0	0.6116129032258064	0.0	
0.15217391304347827	0.6593548387096773	0.0	0.6593548387096773	0.0	0.5887096774193548	0.0	0.5887096774193548	0.0	
0.17391304347826086	0.5887096774193548	0.0	0.5887096774193548	0.0	0.5887096774193548	0.0	0.5887096774193548	0.0	
0.19565217391304346	0.5887096774193548	0.0	0.5887096774193548	0.0	0.48387096774193544	0.0	0.48387096774193544	0.0	
0.21739130434782605	0.6351612903225805	0.0	0.6351612903225805	0.0	0.5887096774193548	0.0	0.5887096774193548	0.0	
0.23913043478260865	0.5238709677419354	0.0	0.5238709677419354	0.0	0.6841935483870967	0.0	0.6841935483870967	0.0	
0.26086956521739124	0.42870967741935484	0.0	0.42870967741935484	0.0	0.6351612903225805	0.0	0.6351612903225805	0.0	
0.28260869565217384	0.48387096774193544	0.0	0.48387096774193544	0.0	0.6593548387096773	0.0	0.6593548387096773	0.0	
0.30434782608695643	0.3641935483870967	0.0	0.3641935483870967	0.0	0.6351612903225805	0.0	0.6351612903225805	0.0	
0.326086956521739	0.3496774193548387	0.0	0.3496774193548387	0.0	0.5887096774193548	0.0	0.5887096774193548	0.0	
0.3478260869565216	0.37935483870967746	0.0	0.37935483870967746	0.0	0.48387096774193544	0.0	0.48387096774193544	0.0	
0.3695652173913042	0.41161290322580635	0.0	0.41161290322580635	0.0	0.6841935483870967	0.0	0.6841935483870967	0.0	
0.3913043478260868	0.2325806451612903	0.0	0.2325806451612903	0.0	0.6841935483870967	0.0	0.6841935483870967	0.0	
0.4130434782608694	0.2141935483870968	0.0	0.2141935483870968	0.0	0.6593548387096773	0.0	0.6593548387096773	0.0	
0.434782608695652	0.21967741935483862	0.0	0.21967741935483862	0.0	0.7625806451612903	0.0	0.7625806451612903	0.0	
0.4565217391304346	0.2141935483870968	0.0	0.2141935483870968	0.0	0.8180645161290322	0.0	0.8180645161290322	0.0	
0.4782608695652172	0.24000000000000002	0.0	0.24000000000000002	0.0	0.79	0.0	0.79	0.0	
0.4999999999999998	0.22580645161290316	0.0	0.22580645161290316	0.0	0.846774193548387	0.0	0.846774193548387	0.0	
0.5217391304347824	0.22580645161290316	0.0	0.22580645161290316	0.0	0.6841935483870967	0.0	0.6841935483870967	0.0	
0.543478260869565	0.22580645161290316	0.0	0.22580645161290316	0.0	0.6593548387096773	0.0	0.6593548387096773	0.0	
0.5652173913043476	0.22580645161290316	0.0	0.22580645161290316	0.0	0.8180645161290322	0.0	0.8180645161290322	0.0	
0.5869565217391302	0.22580645161290316	0.0	0.22580645161290316	0.0	0.6841935483870967	0.0	0.6841935483870967	0.0	
0.6086956521739127	0.22580645161290316	0.0	0.22580645161290316	0.0	0.6593548387096773	0.0	0.6593548387096773	0.0	
0.6304347826086953	0.22580645161290316	0.0	0.22580645161290316	0.0	0.8180645161290322	0.0	0.8180645161290322	0.0	
0.6521739130434779	0.22580645161290316	0.0	0.22580645161290316	0.0	0.7358064516129033	0.0	0.7358064516129033	0.0	
0.6739130434782605	0.22580645161290316	0.0	0.22580645161290316	0.0	0.7358064516129033	0.0	0.7358064516129033	0.0	
0.6956521739130431	0.22580645161290316	0.0	0.22580645161290316	0.0	0.7358064516129033	0.0	0.7358064516129033	0.0	
0.7173913043478257	0.22580645161290316	0.0	0.22580645161290316	0.0	0.6593548387096773	0.0	0.6593548387096773	0.0	
0.7391304347826083	0.22580645161290316	0.0	0.22580645161290316	0.0	0.7358064516129033	0.0	0.7358064516129033	0.0	
0.7608695652173909	0.22580645161290316	0.0	0.22580645161290316	0.0	0.7358064516129033	0.0	0.7096774193548387	0.0	
0.7826086956521735	0.22580645161290316	0.0	0.22580645161290316	0.0	0.7358064516129033	0.0	0.7096774193548387	0.0	
0.8043478260869561	0.22580645161290316	0.0	0.22580645161290316	0.0	0.7625806451612903	0.0	0.19483870967741926	0.0	
0.8260869565217387	0.22580645161290316	0.0	0.22580645161290316	0.0	0.7358064516129033	0.0	0.1938709677419355	0.0	
0.8478260869565213	0.22580645161290316	0.0	0.22580645161290316	0.0	0.1935483870967742	0.0	0.19483870967741926	0.0	
0.8695652173913039	0.22580645161290316	0.0	0.22580645161290316	0.0	0.1935483870967742	0.0	0.1938709677419355	0.0	
0.8913043478260865	0.22580645161290316	0.0	0.22580645161290316	0.0	0.1938709677419355	0.0	0.1935483870967742	0.0	
0.9130434782608691	0.22580645161290316	0.0	0.22580645161290316	0.0	0.1938709677419355	0.0	0.1938709677419355	0.0	
0.9347826086956517	0.22580645161290316	0.0	0.22580645161290316	0.0	0.1938709677419355	0.0	0.1938709677419355	0.0	
0.9565217391304343	0.22580645161290316	0.0	0.22580645161290316	0.0	0.1938709677419355	0.0	0.1938709677419355	0.0	
0.9782608695652169	0.22580645161290316	0.0	0.22580645161290316	0.0	0.19483870967741926	0.0	0.19483870967741926	0.0	
0.9891304347826086	0.22580645161290316	0.0	0.22580645161290316	0.0	0.1938709677419355	0.0	0.1938709677419355	0.0	
0.9978260869565218	0.22580645161290316	0.0	0.22580645161290316	0.0	0.1938709677419355	0.0	0.1938709677419355	0.0	
0.9999999999999994	null	null	null	null	null	null	null	null	

